file	bytes	sha1	sha256
anthropic-ai-claude-code-1.0.128.tgz	36011028	5562c759e5a1a2b7bd2865df7c1ecf5fb71dc6fd	93342112208f4fbf0199c622bbdd9231c60d51c832e68e2a4c445c2523172740
anthropic-ai-claude-code-2.0.77.tgz	26373329	f2bf6fe230af92b5252d6e192443d044788344eb	5b678863a19486f42b1f3e38b23b84513113bdf7c23217c1cd47a0b159cb3bdd
anthropic-ai-claude-code-2.1.196.tgz	19918	f3352f0569fe1fd8b6afb097360721cd89b797d6	e264ff2991e0d29b2d956bedd842385180e1d41183417b0bb77c8b808beda206
anthropic-ai-claude-code-2.1.197.tgz	19918	abf5bac5466c5fb5eebc07b47112ae04db3f3877	0481de729ef296a62291f26227f76d47741536a4fd81097237448d7769b83199
anthropic-ai-claude-code-2.1.90.tgz	16512072	b086e61c497edae02fb5bf52fae75293c034138a	8e49c90ebaec565b5fb0af744bebc53c1fd36262453cb4f309c12f6127b55418
anthropic-ai-claude-code-2.1.91.tgz	16522495	f7c6050592b4a7c10074eacda07872f79875dc61	4fb4dae771d6fad1e74703741148f5ee2d24837f4a04eab27041746f7a5b3e2b
anthropic-ai-claude-code-2.1.92.tgz	17164906	536b5c573ae5d3ba85ace514e2e72d37c3d5e464	fff885f916e6b3a71853559601af12abb1b64714cfc2f0635a25613b96749347
anthropic-ai-claude-code-darwin-arm64-2.1.196.tgz	66266597	a526a50cb5475b44539b879c0e2fed237212dbbb	e05786f5e4461a9467e21fc0890b92b3a64eef0cebf11cdbe6b71be60dd58d21
anthropic-ai-claude-code-darwin-arm64-2.1.197.tgz	67617662	c3981c81c50cb6d46af92fea52bd8fc64c6c3d2a	f5a7b05f69c3ab84c224be287c1859781f7abf77c08dff48fb100efffa76be6e
anthropic-ai-claude-code-linux-x64-2.1.197.tgz	77071446	80792ecdc90019b226e558dea6d10c6f7f03f29c	42b12aa7a1d57d9f48b49acecca37643a81528ad873629e0fc5f043730621b14
